gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
clec-175,0,0,2,0,1,1,1,1
R08D7.1,1490,2960,1161,424,105,79,124,85
rpap-2,600,883,467,208,39,46,16,15
eif-3.D,1326,1509,1040,411,60,74,13,12
R08D7.4,310,318,348,128,14,14,2,2
R08D7.5,544,352,337,227,35,36,1,2
pde-2,471,988,352,112,69,71,4,10
R08D7.7,0,0,1,0,1,1,1,1
R08E3.1,0,2,0,0,3,1,1,1
R08E3.3,408,644,277,89,47,36,14,9
ztf-16,13,48,9,9,2,4,1,1
cysl-3,425,699,230,126,36,23,31,25
R08E5.3,1,1,2,0,1,1,2,1
R08F11.1,7,0,0,0,1,3,1,1
nhr-269,0,0,1,0,1,1,1,1
ergo-1,4459,13525,4134,941,432,449,548,483
R09A1.2,26,32,21,12,1,1,1,1
R09A1.3,3,25,9,1,1,1,1,1
flp-34,0,1,0,0,1,1,1,1
R09A8.1,197,325,141,57,24,27,4,4
R09A8.2,678,1390,444,137,49,53,73,50
ivns-1,88,617,145,44,42,29,40,30
R09A8.5,0,2,0,0,1,1,3,1
R09A8.9,8,1,10,3,1,1,1,1
exo-3,1049,3221,962,353,48,49,91,78
rbm-3.1,3464,4143,3599,2187,50,72,3,16
rbm-3.2,3156,3458,3395,1638,109,144,1,13
ubc-12,1007,1035,576,307,38,46,6,24
mag-1,1163,2790,1973,598,77,67,90,66
chil-23,1,0,0,0,1,1,1,1
R09E10.2,11,0,0,0,1,1,1,1
R09E10.6,2,0,0,0,1,1,1,1
ebax-1,420,997,477,160,105,65,30,41
sti-1,1884,2147,1026,627,78,120,14,25
R09E12.9,1,0,0,0,1,1,1,1
R09F10.1,4,0,0,0,1,1,1,1
R09F10.3,207,900,407,79,50,41,60,28
inx-5,15,54,6,0,1,1,2,1
R09F10.8,2454,1553,1403,811,165,190,3,22
sup-10,0,0,2,1,1,1,1,1
nhr-1,105,411,166,26,17,9,12,17
R102.4,114,124,88,33,2,8,5,2
allo-1,2202,6217,2310,720,153,128,280,203
nac-2,85,51,35,20,6,2,1,2
R107.2,203,324,166,106,11,4,18,11
ikke-1,1378,2113,1210,434,114,111,14,14
R107.5,4654,10855,3668,1177,116,104,151,134
cls-2,513,1716,627,187,36,44,51,42
gst-1,1964,1801,1370,920,86,121,8,19
lin-12,54,88,20,24,7,9,2,1
rbx-2,521,921,400,133,21,20,1,4
R10D12.1,0,5,2,2,1,1,1,1
algn-13,525,482,469,211,16,15,55,24
